Fecha,Municipio,Barrio,Zona,Clase de sitio,Arma empleada,Móvil Agresor,Móvil Victima,Edad,Sexo,Estado civil,País de nacimiento,Clase de empleado,Cantidad
07/14/2016 12:00:00 AM,VILLA DEL ROSARIO,BARRIO MONTEVIDEO,URBANA,CASAS DE HABITACION,-,A PIE,A PIE,26,FEMENINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,1
07/15/2016 12:00:00 AM,OCAÑA,BARRIO EL CARMEN,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,34,FEMENINO,UNION LIBRE,COLOMBIA,AMA DE CASA,1
07/15/2016 12:00:00 AM,OCAÑA,INVASION TIERRA SANTA,URBANA,CASAS DE HABITACION,CONTUNDENTES,A PIE,A PIE,43,FEMENINO,CASADO,COLOMBIA,AMA DE CASA,1
07/16/2016 12:00:00 AM,CÁCOTA,BARRIO CENTRO,URBANA,CASAS DE HABITACION,CONTUNDENTES,A PIE,A PIE,25,FEMENINO,UNION LIBRE,COLOMBIA,AMA DE CASA,1
07/16/2016 12:00:00 AM,CÚCUTA (CT),BARRIO LOS ALPES,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,25,FEMENINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,1
07/16/2016 12:00:00 AM,CÚCUTA (CT),BARRIO CARLOS RAMIREZ PARIS,URBANA,DENTRO DE LA VIVIENDA,CONTUNDENTES,A PIE,A PIE,27,FEMENINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,1
07/16/2016 12:00:00 AM,EL ZULIA,BARRIO AZUAVIS,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,47,FEMENINO,SOLTERO,COLOMBIA,AMA DE CASA,1
07/17/2016 12:00:00 AM,CHITAGÁ,VEREDA BARTAQUI,RURAL,FINCAS Y SIMILARES,CONTUNDENTES,A PIE,A PIE,31,FEMENINO,CASADO,COLOMBIA,AGRICULTOR,1
07/17/2016 12:00:00 AM,CHITAGÁ,URBANIZACION LA ALEJANDRA (CHITAGA),URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,27,FEMENINO,UNION LIBRE,COLOMBIA,AMA DE CASA,1
07/17/2016 12:00:00 AM,CÚCUTA (CT),BARRIO CAMILO DAZA,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,28,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,1
07/17/2016 12:00:00 AM,CÚCUTA (CT),BARRIO CAMILO DAZA,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,46,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,1
07/17/2016 12:00:00 AM,CÚCUTA (CT),BARRIO CAMILO DAZA,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,28,FEMENINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,1
07/17/2016 12:00:00 AM,CÚCUTA (CT),BARRIO CAMILO DAZA,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,31,FEMENINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,1
07/17/2016 12:00:00 AM,CÚCUTA (CT),BARRIO EL PROGRESO,URBANA,CASAS DE HABITACION,CONTUNDENTES,A PIE,A PIE,21,FEMENINO,SOLTERO,COLOMBIA,AMA DE CASA,1
07/17/2016 12:00:00 AM,CÚCUTA (CT),BARRIO AEROPUERTO,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,27,FEMENINO,UNION LIBRE,COLOMBIA,AMA DE CASA,1
07/17/2016 12:00:00 AM,LOS PATIOS,BARRIO PATIO BONITO,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,CONTUNDENTES,A PIE,A PIE,43,FEMENINO,CASADO,COLOMBIA,AMA DE CASA,1
